Condition;avg_acc;std_acc;avg_pre;std_pre;avg_rcl;std_rcl;time;
Cancer_original;0.947;0.024;0.873;0.051;0.996;0.009;0.090;
Wine_original;0.720;0.025;0.761;0.061;0.718;0.092;0.074;
Adult_original;0.792;0.006;0.626;0.021;0.410;0.008;1.166;
Ion_original;0.597;0.056;0.472;0.036;0.992;0.016;0.028;
Wine_original;0.720;0.025;0.761;0.061;0.718;0.092;0.109;
Ion_original;0.597;0.056;0.472;0.036;0.992;0.016;0.018;
Cancer_original;0.947;0.024;0.873;0.051;0.996;0.009;0.027;
Adult_original;0.792;0.006;0.626;0.021;0.410;0.008;1.188;
Adult_original;0.792;0.006;0.626;0.021;0.410;0.008;1.236;
Cancer_original;0.947;0.024;0.873;0.051;0.996;0.009;0.029;
Wine_original;0.720;0.025;0.761;0.061;0.718;0.092;0.060;
Ion_original;0.597;0.056;0.472;0.036;0.992;0.016;0.019;
Cancer_original;0.947;0.024;0.873;0.051;0.996;0.009;0.042;
Adult_original;0.792;0.006;0.626;0.021;0.410;0.008;1.505;
Wine_original;0.720;0.025;0.761;0.061;0.718;0.092;0.062;
Ion_original;0.597;0.056;0.472;0.036;0.992;0.016;0.005;
